date,Джирайя,Тень,Uchiha Madara,AloneInTheDark,Shisui,Orochimaru,Rosich,Сайдзо,Айзен,Tayuya,YuRaN III,Нет,Мастер ИП,Rock Lee,sensey,Yahiko,Хедин,Kirishima Touka,Вулкан,misha10x10x,Социопат_мл,KillerNick,Rokyro Rau,Шикигами,-Tobi-,РИДИК,Trigun,Neji Hyuga,DeYsTrave,СОНЯ,Konan,Fludo,Ога Тацуми,Freir,Учиха Хидате,Гусь,треш,_ZeuS_,Канеки Учиха,Jugernaut,Kira,Deathstroke,_Indra_,Конс,Silf,Акасуна но Акира,герцогиня,-Uchiha-Artem-,Petrovich192,CM Punk,тихиЙ ужаС,Pain,zzStop,Социопат,LoLka 80 lvl,Mikadzuki,ArtiGarPotr,Mrak,Сбежавший Учиха,mazumuz,Кимимаро,Vizer fon Ghoul,Alukard,Нагато Пейн,Joker,Shiro,Ledi,Леди ангел,~TITAN~,Пчёлка,Тобирама Сенджу,L Lawliet,Scifsyyh,Firebug,Garadin,Хрустальный Лис,ШикамарУ,Kcapa,-Sally-,Последователь,Supa,Grimmjow,Ogawa,Джираия,~KiLLeR~,Акасуна_но_Сасори,Brave,Djons,Dead pool,Nikitoss,Учиха Обито,ArtOff,TipS,Сумасшедший,nom,Азура,Уайт,Crowley,_Призрак_,Senju Hashirama
20190101,133874,92450,92044,78932,75126,65830,64267,62507,59803,57649,56074,51033,50785,49518,49367,47826,42512,39721,39320,38869,36966,35784,35024,34780,34410,34259,30525,30423,29421,29010,28942,28368,27930,27831,27212,26872,25438,25325,24646,24565,24551,24331,24183,23947,23704,23322,23320,22005,22005,21730,21197,20606,19278,19013,18316,18123,17483,17023,16984,16876,16744,16549,16262,16243,16129,15929,15928,15822,15419,15414,15225,15182,14938,14899,14351,14103,14000,13152,12842,12773,12608,12533,12532,12487,12422,12279,12266,11621,11392,11211,11133,11059,10942,10884,10324,10025,10001,9813,9698,9649
date,Джирайя,Тень,Uchiha Madara,AloneInTheDark,Shisui,Orochimaru,Rosich,Сайдзо,Айзен,Tayuya,YuRaN III,Нет,Мастер ИП,Rock Lee,sensey,Yahiko,Хедин,Kirishima Touka,Вулкан,misha10x10x,Социопат_мл,KillerNick,Rokyro Rau,Шикигами,-Tobi-,РИДИК,Trigun,Neji Hyuga,DeYsTrave,СОНЯ,Konan,Fludo,Ога Тацуми,Freir,Учиха Хидате,Гусь,треш,_ZeuS_,Kira,Jugernaut,Канеки Учиха,Deathstroke,_Indra_,Конс,Silf,герцогиня,Акасуна но Акира,Petrovich192,-Uchiha-Artem-,CM Punk,тихиЙ ужаС,Pain,zzStop,Социопат,LoLka 80 lvl,Mikadzuki,ArtiGarPotr,Сбежавший Учиха,Mrak,mazumuz,Кимимаро,Vizer fon Ghoul,Нагато Пейн,Joker,Alukard,Sasuke,Ledi,Леди ангел,~TITAN~,Пчёлка,L Lawliet,Тобирама Сенджу,Scifsyyh,Firebug,Garadin,Хрустальный Лис,ШикамарУ,Kcapa,-Sally-,Последователь,Ogawa,Supa,~KiLLeR~,Grimmjow,Джираия,Brave,Акасуна_но_Сасори,Djons,Dead pool,Nikitoss,Учиха Обито,ArtOff,TipS,Сумасшедший,nom,Уайт,Азура,Crowley,_Призрак_,Senju Hashirama
20190102,134082,92743,92195,79034,75509,66094,64381,62614,60190,57649,56202,51260,50945,49608,49433,48248,42695,39797,39469,38869,37140,35971,35199,35017,34542,34463,30676,30537,29778,29010,28942,28438,28028,27831,27282,26872,25438,25325,24896,24815,24646,24349,24231,24105,23749,23548,23329,22282,22062,21730,21197,20606,19278,19084,18485,18133,17483,17178,17023,16883,16744,16582,16325,16302,16262,16158,16034,15925,15419,15414,15255,15243,14944,14916,14461,14103,14000,13157,12842,12834,12716,12608,12540,12533,12487,12400,12279,11621,11392,11211,11133,11059,11055,10885,10324,10189,10025,9813,9698,9649
date,Джирайя,Тень,Uchiha Madara,AloneInTheDark,Shisui,Orochimaru,Rosich,Сайдзо,Айзен,Tayuya,YuRaN III,Нет,Мастер ИП,Rock Lee,sensey,Yahiko,Хедин,Kirishima Touka,Вулкан,misha10x10x,Социопат_мл,KillerNick,Rokyro Rau,Шикигами,-Tobi-,РИДИК,Trigun,Neji Hyuga,DeYsTrave,СОНЯ,Konan,Fludo,Ога Тацуми,Freir,Учиха Хидате,Гусь,треш,_ZeuS_,Kira,Jugernaut,Канеки Учиха,_Indra_,Deathstroke,Конс,герцогиня,Silf,Акасуна но Акира,Petrovich192,-Uchiha-Artem-,CM Punk,тихиЙ ужаС,Pain,zzStop,Социопат,LoLka 80 lvl,Mikadzuki,ArtiGarPotr,Сбежавший Учиха,Mrak,mazumuz,Кимимаро,Vizer fon Ghoul,Joker,Нагато Пейн,Sasuke,Alukard,Ledi,Леди ангел,~TITAN~,Пчёлка,L Lawliet,Тобирама Сенджу,Firebug,Scifsyyh,Garadin,Хрустальный Лис,ШикамарУ,Kcapa,Последователь,-Sally-,Ogawa,~KiLLeR~,Supa,Brave,Grimmjow,Джираия,Акасуна_но_Сасори,Djons,Dead pool,TipS,Nikitoss,Учиха Обито,ArtOff,Сумасшедший,nom,Уайт,Азура,Crowley,Торуне,_Призрак_
20190103,134399,93111,92373,79286,75897,66399,64487,62693,60509,57649,56355,51543,51095,49608,49546,48589,42897,40026,39470,38869,37262,36116,35376,35173,34657,34476,30758,30537,29915,29010,28942,28550,28208,27841,27300,26872,25438,25325,25218,25004,24646,24376,24349,24284,23803,23766,23362,22561,22136,21730,21197,20606,19278,19183,18621,18274,17483,17317,17023,16941,16744,16590,16571,16404,16387,16262,16040,16033,15419,15414,15324,15254,14997,14944,14747,14103,14000,13166,12878,12842,12756,12676,12608,12534,12533,12487,12279,11621,11392,11301,11211,11136,11059,10897,10324,10290,10025,9813,9709,9698
date,Джирайя,Тень,Uchiha Madara,AloneInTheDark,Shisui,Orochimaru,Rosich,Сайдзо,Айзен,Tayuya,YuRaN III,Нет,Мастер ИП,sensey,Rock Lee,Yahiko,Хедин,Kirishima Touka,Вулкан,misha10x10x,Социопат_мл,KillerNick,Rokyro Rau,Шикигами,-Tobi-,РИДИК,Trigun,Neji Hyuga,DeYsTrave,СОНЯ,Konan,Fludo,Ога Тацуми,Freir,Учиха Хидате,Гусь,треш,_ZeuS_,Kira,Jugernaut,Канеки Учиха,_Indra_,Конс,Deathstroke,герцогиня,Silf,Акасуна но Акира,Petrovich192,-Uchiha-Artem-,CM Punk,тихиЙ ужаС,Pain,Социопат,zzStop,LoLka 80 lvl,Mikadzuki,ArtiGarPotr,Сбежавший Учиха,Mrak,mazumuz,Son of Sparda,Кимимаро,Vizer fon Ghoul,Sasuke,Нагато Пейн,Alukard,Леди ангел,Ledi,L Lawliet,~TITAN~,Пчёлка,Тобирама Сенджу,Firebug,Scifsyyh,Garadin,Хрустальный Лис,ШикамарУ,Kcapa,Последователь,-Sally-,~KiLLeR~,Ogawa,Brave,Supa,Grimmjow,Джираия,Акасуна_но_Сасори,Djons,TipS,Dead pool,Nikitoss,Учиха Обито,ArtOff,Сумасшедший,Уайт,nom,Азура,Торуне,Crowley,_Призрак_
20190104,134753,93350,92574,79534,76226,66613,64521,62920,60802,57649,56494,51742,51307,49617,49608,48769,43143,40153,39475,38869,37438,36283,35528,35350,34777,34635,30884,30537,30098,29010,28942,28629,28355,27841,27316,26872,25438,25325,25249,25201,24646,24524,24475,24349,23984,23889,23362,22785,22270,21730,21197,20606,19278,19278,18699,18343,17483,17461,17023,17016,16779,16744,16612,16579,16542,16262,16141,16112,15450,15419,15414,15254,15084,14944,14907,14103,14000,13185,12985,12842,12797,12772,12729,12608,12533,12487,12279,11621,11481,11392,11211,11146,11059,10897,10393,10324,10025,9865,9813,9698
date,Джирайя,Тень,Uchiha Madara,AloneInTheDark,Shisui,Orochimaru,Rosich,Сайдзо,Айзен,Tayuya,YuRaN III,Нет,Мастер ИП,sensey,Rock Lee,Yahiko,Хедин,Kirishima Touka,Вулкан,misha10x10x,Социопат_мл,KillerNick,Rokyro Rau,Шикигами,РИДИК,-Tobi-,Trigun,Neji Hyuga,DeYsTrave,СОНЯ,Konan,Fludo,Ога Тацуми,Freir,Учиха Хидате,Гусь,треш,Jugernaut,_ZeuS_,Kira,Конс,Канеки Учиха,_Indra_,Deathstroke,Silf,герцогиня,Акасуна но Акира,Petrovich192,-Uchiha-Artem-,CM Punk,тихиЙ ужаС,Pain,Социопат,zzStop,LoLka 80 lvl,Mikadzuki,Сбежавший Учиха,ArtiGarPotr,mazumuz,Mrak,Son of Sparda,Кимимаро,Sasuke,Vizer fon Ghoul,Нагато Пейн,Леди ангел,Alukard,Ledi,L Lawliet,~TITAN~,Пчёлка,Тобирама Сенджу,Firebug,Garadin,Scifsyyh,Хрустальный Лис,ШикамарУ,Kcapa,Последователь,~KiLLeR~,-Sally-,Ogawa,Brave,Supa,Grimmjow,Джираия,Акасуна_но_Сасори,Djons,TipS,Dead pool,Nikitoss,Учиха Обито,ArtOff,Сумасшедший,Уайт,nom,Азура,Торуне,Crowley,Mirajane
20190105,135019,93512,92734,79689,76411,66796,64605,63128,60976,57649,56601,52100,51532,49691,49657,49044,43248,40293,39531,38869,37563,36401,35726,35402,35041,34921,30977,30537,30237,29010,28942,28760,28445,27866,27350,26872,25438,25427,25325,25252,24672,24646,24640,24405,24071,24026,23363,22906,22376,21730,21197,20606,19362,19278,18767,18549,17588,17483,17156,17023,16987,16744,16709,16701,16620,16292,16262,16201,15590,15419,15414,15262,15183,14991,14944,14103,14000,13190,13023,12859,12842,12809,12768,12608,12533,12487,12279,11621,11580,11392,11211,11146,11059,10914,10533,10322,10025,10009,9813,9776
